Protein_IDs,Gene_names,Protein_names
Q8N1F7,NUP93,Nuclear pore complex protein Nup93
Q8N1F8,STK11IP,Serine/threonine-protein kinase 11-interacting protein
Q8N1G0,ZNF687,Zinc finger protein 687
Q8N1G2,CMTR1,Cap-specific mRNA (nucleoside-2-O-)-methyltransferase 1
Q8N1G4,LRRC47,Leucine-rich repeat-containing protein 47
Q8N1I0,DOCK4,Dedicator of cytokinesis protein 4
Q8N1Q1,CA13,Carbonic anhydrase 13
Q8N201,INTS1,Integrator complex subunit 1
Q8N2F6,ARMC10,Armadillo repeat-containing protein 10
Q8N2G4,LYPD1,Ly6/PLAUR domain-containing protein 1
Q8N2G8,GHDC,GH3 domain-containing protein
Q8N2K0,ABHD12,Monoacylglycerol lipase ABHD12
Q8N335,GPD1L,Glycerol-3-phosphate dehydrogenase 1-like protein
Q8N350,DOS,Protein Dos
Q8N394,TMTC2,Transmembrane and TPR repeat-containing protein 2
Q8N3C0,ASCC3,Activating signal cointegrator 1 complex subunit 3
Q8N3E9,PLCD3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3"
Q8N3F8,MICALL1,MICAL-like protein 1
Q8N3J6,CADM2,Cell adhesion molecule 2
Q8N3P4,VPS8,Vacuolar protein sorting-associated protein 8 homolog
Q8N3R9,MPP5,MAGUK p55 subfamily member 5
Q8N3U4;Q8WVM7,STAG2,Cohesin subunit SA-2
Q8N3V7,SYNPO,Synaptopodin
Q8N3X1,FNBP4,Formin-binding protein 4
Q8N3Z3,GTPBP8,GTP-binding protein 8
Q8N442,GUF1,"Translation factor GUF1, mitochondrial"
Q8N465,D2HGDH,"D-2-hydroxyglutarate dehydrogenase, mitochondrial"
Q8N474,SFRP1,Secreted frizzled-related protein 1
Q8N4H5,TOMM5,Mitochondrial import receptor subunit TOM5 homolog
Q8N4L2,TMEM55A,"Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase"
Q8N4P3,HDDC3,"Guanosine-3,5-bis(diphosphate) 3-pyrophosphohydrolase MESH1"
Q8N4Q1,CHCHD4,Mitochondrial intermembrane space import and assembly protein 40
Q8N4T8,CBR4,Carbonyl reductase family member 4
Q8N543,OGFOD1,Prolyl 3-hydroxylase OGFOD1
Q8N556,AFAP1,Actin filament-associated protein 1
Q8N568;Q9C098,DCLK2,Serine/threonine-protein kinase DCLK2
Q8N573,OXR1,Oxidation resistance protein 1
Q8N5C6,SRBD1,S1 RNA-binding domain-containing protein 1
Q8N5G0,SMIM20,Small integral membrane protein 20
Q8N5G2,TMEM57,Macoilin
Q8N5K1,CISD2,CDGSH iron-sulfur domain-containing protein 2
Q8N5N7,MRPL50,"39S ribosomal protein L50, mitochondrial"
Q8N684,CPSF7,Cleavage and polyadenylation specificity factor subunit 7
Q8N6H7,ARFGAP2,ADP-ribosylation factor GTPase-activating protein 2
Q8N6M0,OTUD6B,OTU domain-containing protein 6B
Q8N6N7,ACBD7,Acyl-CoA-binding domain-containing protein 7
Q8N6R0,METTL13,Methyltransferase-like protein 13
Q8N6T3,ARFGAP1,ADP-ribosylation factor GTPase-activating protein 1
Q8N6W0;Q9BZC1,CELF5;CELF4,CUGBP Elav-like family member 5;CUGBP Elav-like family member 4
Q8N766,EMC1,ER membrane protein complex subunit 1
Q8N7H5,PAF1,RNA polymerase II-associated factor 1 homolog
Q8N806,UBR7,Putative E3 ubiquitin-protein ligase UBR7
Q8N8A6,DDX51,ATP-dependent RNA helicase DDX51
Q8N8N7,PTGR2,Prostaglandin reductase 2
Q8N8R7,ARL14EP,ARL14 effector protein
Q8N8S7,ENAH,Protein enabled homolog
Q8N954,GPATCH11,G patch domain-containing protein 11
Q8N983,MRPL43,"39S ribosomal protein L43, mitochondrial"
Q8N9F7,GDPD1,Glycerophosphodiester phosphodiesterase domain-containing protein 1
Q8N9I0,SYT2,Synaptotagmin-2
Q8N9I9,DTX3,Probable E3 ubiquitin-protein ligase DTX3
Q8N9N2,ASCC1,Activating signal cointegrator 1 complex subunit 1
Q8N9N7,LRRC57,Leucine-rich repeat-containing protein 57
Q8N9N8,EIF1AD,Probable RNA-binding protein EIF1AD
Q8NAF0,ZNF579,Zinc finger protein 579
Q8NAV1,PRPF38A,Pre-mRNA-splicing factor 38A
Q8NB37,PDDC1,Parkinson disease 7 domain-containing protein 1
Q8NB49,ATP11C,Phospholipid-transporting ATPase IG
Q8NB78,KDM1B,Lysine-specific histone demethylase 1B
Q8NB90,SPATA5,Spermatogenesis-associated protein 5
Q8NBF2,NHLRC2,NHL repeat-containing protein 2
Q8NBF6,AVL9,Late secretory pathway protein AVL9 homolog
Q8NBI6,XXYLT1,Xyloside xylosyltransferase 1
Q8NBJ4,GOLM1,Golgi membrane protein 1
Q8NBJ5,COLGALT1,Procollagen galactosyltransferase 1
Q8NBJ7,SUMF2,Sulfatase-modifying factor 2
Q8NBJ9,SIDT2,SID1 transmembrane family member 2
Q8NBK3,SUMF1,Sulfatase-modifying factor 1
Q8NBL1,POGLUT1,Protein O-glucosyltransferase 1
Q8NBN3,TMEM87A,Transmembrane protein 87A
Q8NBP0,TTC13,Tetratricopeptide repeat protein 13
Q8NBQ5,HSD17B11,Estradiol 17-beta-dehydrogenase 11
Q8NBS9,TXNDC5,Thioredoxin domain-containing protein 5
Q8NBU5,ATAD1,ATPase family AAA domain-containing protein 1
Q8NBX0,SCCPDH,Saccharopine dehydrogenase-like oxidoreductase
Q8NBZ7,UXS1,UDP-glucuronic acid decarboxylase 1
Q8NC44,FAM134A,Protein FAM134A
Q8NC51,SERBP1,Plasminogen activator inhibitor 1 RNA-binding protein
Q8NC56,LEMD2,LEM domain-containing protein 2
Q8NC96,NECAP1,Adaptin ear-binding coat-associated protein 1
Q8NCA5,FAM98A,Protein FAM98A
Q8NCB2,CAMKV,CaM kinase-like vesicle-associated protein
Q8NCC3,PLA2G15,Group XV phospholipase A2
Q8NCD3,HJURP,Holliday junction recognition protein
Q8NCG7,DAGLB,Sn1-specific diacylglycerol lipase beta
Q8NCH0,CHST14,Carbohydrate sulfotransferase 14
Q8NCM8,DYNC2H1,Cytoplasmic dynein 2 heavy chain 1
Q8NCN5,PDPR,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial"
Q8NCW5,APOA1BP,NAD(P)H-hydrate epimerase
Q8ND04,SMG8,Protein SMG8
Q8ND24,RNF214,RING finger protein 214
Q8ND56,LSM14A,Protein LSM14 homolog A
Q8ND82;Q86YH2;Q6N043,ZNF280C,Zinc finger protein 280C
Q8ND83,SLAIN1,SLAIN motif-containing protein 1
Q8ND90,PNMA1,Paraneoplastic antigen Ma1
Q8NDA8,MROH1,Maestro heat-like repeat-containing protein family member 1
Q8NDI1,EHBP1,EH domain-binding protein 1
Q8NDT2,RBM15B,Putative RNA-binding protein 15B
Q8NDZ4,C3orf58,Deleted in autism protein 1
Q8NE01,CNNM3,Metal transporter CNNM3
Q8NE71,ABCF1,ATP-binding cassette sub-family F member 1
Q8NE86,MCU,"Calcium uniporter protein, mitochondrial"
Q8NEB9,PIK3C3,Phosphatidylinositol 3-kinase catalytic subunit type 3
Q8NEC7,GSTCD,Glutathione S-transferase C-terminal domain-containing protein
Q8NEF9,SRFBP1,Serum response factor-binding protein 1
Q8NEN9,PDZD8,PDZ domain-containing protein 8
Q8NEU8,APPL2,DCC-interacting protein 13-beta
Q8NEY1,NAV1,Neuron navigator 1
Q8NEZ2,VPS37A,Vacuolar protein sorting-associated protein 37A
Q8NEZ3,WDR19,WD repeat-containing protein 19
Q8NF37,LPCAT1,Lysophosphatidylcholine acyltransferase 1
Q8NF91,SYNE1,Nesprin-1
Q8NFA0;P35125,USP32,Ubiquitin carboxyl-terminal hydrolase 32
Q8NFC6,BOD1L1,Biorientation of chromosomes in cell division protein 1-like 1
Q8NFD5,ARID1B,AT-rich interactive domain-containing protein 1B
Q8NFF5,FLAD1,FAD synthase;Molybdenum cofactor biosynthesis protein-like region;FAD synthase region
Q8NFG4,FLCN,Folliculin
Q8NFH4,NUP37,Nucleoporin Nup37
Q8NFH5,NUP35,Nucleoporin NUP53
Q8NFJ9,BBS1,Bardet-Biedl syndrome 1 protein
Q8NFP7,NUDT10,Diphosphoinositol polyphosphate phosphohydrolase 3-alpha
Q8NFP9,NBEA,Neurobeachin
Q8NFQ8,TOR1AIP2,Torsin-1A-interacting protein 2
Q8NFV4,ABHD11,Alpha/beta hydrolase domain-containing protein 11
Q8NFW8,CMAS,N-acylneuraminate cytidylyltransferase
Q8NFZ8,CADM4,Cell adhesion molecule 4
Q8NHH9,ATL2,Atlastin-2
Q8NHM5,KDM2B,Lysine-specific demethylase 2B
Q8NHP6,MOSPD2,Motile sperm domain-containing protein 2
Q8NHP8,PLBD2,Putative phospholipase B-like 2;Putative phospholipase B-like 2 32 kDa form;Putative phospholipase B-like 2 45 kDa form
Q8NHQ9,DDX55,ATP-dependent RNA helicase DDX55
Q8NHU6,TDRD7,Tudor domain-containing protein 7
Q8NHV4,NEDD1,Protein NEDD1
Q8NHZ8,CDC26,Anaphase-promoting complex subunit CDC26
Q8NI08,NCOA7,Nuclear receptor coactivator 7
Q8NI22,MCFD2,Multiple coagulation factor deficiency protein 2
Q8NI27,THOC2,THO complex subunit 2
Q8NI36,WDR36,WD repeat-containing protein 36
Q8TAA5,GRPEL2,"GrpE protein homolog 2, mitochondrial"
Q8TAA9,VANGL1,Vang-like protein 1
Q8TAD4,SLC30A5,Zinc transporter 5
Q8TAD8,SNIP1,Smad nuclear-interacting protein 1
Q8TAE6,PPP1R14C,Protein phosphatase 1 regulatory subunit 14C
Q8TAE8,GADD45GIP1,Growth arrest and DNA damage-inducible proteins-interacting protein 1
Q8TAF3,WDR48,WD repeat-containing protein 48
Q8TAM2,TTC8,Tetratricopeptide repeat protein 8
Q8TAQ2,SMARCC2,SWI/SNF complex subunit SMARCC2
Q8TAT2,FGFBP3,Fibroblast growth factor-binding protein 3
Q8TAT6,NPLOC4,Nuclear protein localization protein 4 homolog
Q8TB22,SPATA20,Spermatogenesis-associated protein 20
Q8TB36,GDAP1,Ganglioside-induced differentiation-associated protein 1
Q8TB37,NUBPL,Iron-sulfur protein NUBPL
Q8TB61,SLC35B2,Adenosine 3-phospho 5-phosphosulfate transporter 1
Q8TB73,NDNF,Protein NDNF
Q8TB96,ITFG1,T-cell immunomodulatory protein
Q8TBA6,GOLGA5,Golgin subfamily A member 5
Q8TBB5,KLHDC4,Kelch domain-containing protein 4
Q8TBC4,UBA3,NEDD8-activating enzyme E1 catalytic subunit
Q8TBC5,ZSCAN18,Zinc finger and SCAN domain-containing protein 18
Q8TBF2,FAM213B,Prostamide/prostaglandin F synthase
Q8TBF4,ZCRB1,Zinc finger CCHC-type and RNA-binding motif-containing protein 1
Q8TBM8,DNAJB14,DnaJ homolog subfamily B member 14
Q8TBX8,PIP4K2C,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma
Q8TBZ3,WDR20,WD repeat-containing protein 20
Q8TC07,TBC1D15,TBC1 domain family member 15
Q8TC12,RDH11,Retinol dehydrogenase 11
Q8TCA0,LRRC20,Leucine-rich repeat-containing protein 20
Q8TCE6;Q6NSW5,FAM45A;FAM45B,Protein FAM45A;Protein FAM45B
Q8TCF1,ZFAND1,AN1-type zinc finger protein 1
Q8TCG1,KIAA1524,Protein CIP2A
Q8TCG5,CPT1C,"Carnitine O-palmitoyltransferase 1, brain isoform"
Q8TCJ2,STT3B,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B
Q8TCS8,PNPT1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial"
Q8TCT8,SPPL2A,Signal peptide peptidase-like 2A
Q8TCT9,HM13,Minor histocompatibility antigen H13
Q8TCU6,PREX1,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein"
Q8TCZ2,CD99L2,CD99 antigen-like protein 2
Q8TD19,NEK9,Serine/threonine-protein kinase Nek9
Q8TD30;P24298,GPT2,Alanine aminotransferase 2
Q8TDB6,DTX3L,E3 ubiquitin-protein ligase DTX3L
Q8TDD1,DDX54,ATP-dependent RNA helicase DDX54
Q8TDJ6,DMXL2,DmX-like protein 2
Q8TDN6,BRIX1,Ribosome biogenesis protein BRX1 homolog
Q8TDQ7,GNPDA2,Glucosamine-6-phosphate isomerase 2
Q8TDY2,RB1CC1,RB1-inducible coiled-coil protein 1
Q8TDY4,ASAP3,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3"
Q8TDZ2,MICAL1,Protein-methionine sulfoxide oxidase MICAL1
Q8TE02,ELP5,Elongator complex protein 5
Q8TEA1,NSUN6,Putative methyltransferase NSUN6
Q8TEA7,TBCK,TBC domain-containing protein kinase-like protein
Q8TEA8,DTD1,D-tyrosyl-tRNA(Tyr) deacylase 1
Q8TEB1,DCAF11,DDB1- and CUL4-associated factor 11
Q8TED0,UTP15,U3 small nucleolar RNA-associated protein 15 homolog
Q8TED1,GPX8,Probable glutathione peroxidase 8
Q8TEM1,NUP210,Nuclear pore membrane glycoprotein 210
Q8TEQ0;Q8IUI4,SNX29,Sorting nexin-29
Q8TEQ6,GEMIN5,Gem-associated protein 5
Q8TEQ8,PIGO,GPI ethanolamine phosphate transferase 3
Q8TER5,ARHGEF40,Rho guanine nucleotide exchange factor 40
Q8TEU7,RAPGEF6,Rap guanine nucleotide exchange factor 6
Q8TEW0,PARD3,Partitioning defective 3 homolog
Q8TEX9,IPO4,Importin-4
Q8TF05,PPP4R1,Serine/threonine-protein phosphatase 4 regulatory subunit 1
Q8TF44,C2CD4C,C2 calcium-dependent domain-containing protein 4C
Q8TF68,ZNF384,Zinc finger protein 384
Q8TF74,WIPF2,WAS/WASL-interacting protein family member 2
Q8WTS6,SETD7,Histone-lysine N-methyltransferase SETD7
Q8WTT2,NOC3L,Nucleolar complex protein 3 homolog
Q8WTW3,COG1,Conserved oligomeric Golgi complex subunit 1
Q8WU76,SCFD2,Sec1 family domain-containing protein 2
Q8WU90,ZC3H15,Zinc finger CCCH domain-containing protein 15
Q8WUA2,PPIL4,Peptidyl-prolyl cis-trans isomerase-like 4
Q8WUA4,GTF3C2,General transcription factor 3C polypeptide 2
Q8WUB8,PHF10,PHD finger protein 10
Q8WUD1,RAB2B,Ras-related protein Rab-2B
Q8WUD4,CCDC12,Coiled-coil domain-containing protein 12
Q8WUH1,CHURC1,Protein Churchill
Q8WUH2,TGFBRAP1,Transforming growth factor-beta receptor-associated protein 1
Q8WUH6,TMEM263,Transmembrane protein 263
Q8WUK0,PTPMT1,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1
Q8WUM0,NUP133,Nuclear pore complex protein Nup133
Q8WUM4,PDCD6IP,Programmed cell death 6-interacting protein
Q8WUQ7,CACTIN,Cactin
Q8WUR7,C15orf40,UPF0235 protein C15orf40
Q8WUW1,BRK1,Protein BRICK1
Q8WUX9,CHMP7,Charged multivesicular body protein 7
Q8WUY8,NAT14,N-acetyltransferase 14
Q8WVC0,LEO1,RNA polymerase-associated protein LEO1
Q8WVC6,DCAKD,Dephospho-CoA kinase domain-containing protein
Q8WVF1,OSCP1,Protein OSCP1
Q8WVJ2,NUDCD2,NudC domain-containing protein 2
Q8WVK2,SNRNP27,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein
Q8WVM8,SCFD1,Sec1 family domain-containing protein 1
Q8WVQ1,CANT1,Soluble calcium-activated nucleotidase 1
Q8WVS4,WDR60,WD repeat-containing protein 60
Q8WVT3,TRAPPC12,Trafficking protein particle complex subunit 12
Q8WVV9,HNRNPLL,Heterogeneous nuclear ribonucleoprotein L-like
Q8WVX9,FAR1,Fatty acyl-CoA reductase 1
Q8WVY7,UBLCP1,Ubiquitin-like domain-containing CTD phosphatase 1
Q8WW12,PCNP,PEST proteolytic signal-containing nuclear protein
Q8WW22,DNAJA4,DnaJ homolog subfamily A member 4
Q8WW59,SPRYD4,SPRY domain-containing protein 4
Q8WWC4,C2orf47,"Uncharacterized protein C2orf47, mitochondrial"
Q8WWH5,TRUB1,Probable tRNA pseudouridine synthase 1
Q8WWK9,CKAP2,Cytoskeleton-associated protein 2
Q8WWM7,ATXN2L,Ataxin-2-like protein
Q8WWQ0,PHIP,PH-interacting protein
Q8WWV3,RTN4IP1,"Reticulon-4-interacting protein 1, mitochondrial"
Q8WWY3,PRPF31,U4/U6 small nuclear ribonucleoprotein Prp31
Q8WX92,NELFB,Negative elongation factor B
Q8WX93,PALLD,Palladin
Q8WX94,NLRP7,"NACHT, LRR and PYD domains-containing protein 7"
Q8WXA3,RUFY2,RUN and FYVE domain-containing protein 2
Q8WXA9,SREK1,Splicing regulatory glutamine/lysine-rich protein 1
Q8WXE9,STON2,Stonin-2
Q8WXF1,PSPC1,Paraspeckle component 1
Q8WXF7,ATL1,Atlastin-1
Q8WXH0,SYNE2,Nesprin-2
Q8WXI9,GATAD2B,Transcriptional repressor p66-beta
Q8WXX5,DNAJC9,DnaJ homolog subfamily C member 9
Q8WY54,PPM1E,Protein phosphatase 1E
Q8WYA0,IFT81,Intraflagellar transport protein 81 homolog
Q8WYA6,CTNNBL1,Beta-catenin-like protein 1
Q8WYP5,AHCTF1,Protein ELYS
Q8WYQ5,DGCR8,Microprocessor complex subunit DGCR8
Q8WZ42,TTN,Titin
Q8WZA0,LZIC,Protein LZIC
Q8WZA1,POMGNT1,"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1"
Q8WZA9,IRGQ,Immunity-related GTPase family Q protein
Q92499,DDX1,ATP-dependent RNA helicase DDX1
Q92506,HSD17B8,Estradiol 17-beta-dehydrogenase 8
Q92520,FAM3C,Protein FAM3C
Q92522,H1FX,Histone H1x
Q92538,GBF1,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1
Q92539;Q14693,LPIN2,Phosphatidate phosphatase LPIN2
Q92541,RTF1,RNA polymerase-associated protein RTF1 homolog
Q92542,NCSTN,Nicastrin
Q92544,TM9SF4,Transmembrane 9 superfamily member 4
Q92551,IP6K1,Inositol hexakisphosphate kinase 1
Q92552,MRPS27,"28S ribosomal protein S27, mitochondrial"
Q92556,ELMO1,Engulfment and cell motility protein 1
Q92558,WASF1,Wiskott-Aldrich syndrome protein family member 1
Q92563,SPOCK2,Testican-2
Q92570,NR4A3,Nuclear receptor subfamily 4 group A member 3
Q92572,AP3S1,AP-3 complex subunit sigma-1
Q92574,TSC1,Hamartin
Q92575,UBXN4,UBX domain-containing protein 4
Q92576,PHF3,PHD finger protein 3
Q92581,SLC9A6,Sodium/hydrogen exchanger 6
Q92597,NDRG1,Protein NDRG1
Q92598,HSPH1,Heat shock protein 105 kDa
Q92599,SEPT8,Septin-8
Q92600,RQCD1,Cell differentiation protein RCD1 homolog
Q92604,LPGAT1,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1
Q92609,TBC1D5,TBC1 domain family member 5
Q92614,MYO18A,Unconventional myosin-XVIIIa
Q92615,LARP4B,La-related protein 4B
Q92616,GCN1L1,Translational activator GCN1
Q92618,ZNF516,Zinc finger protein 516
Q92620,DHX38,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16
Q92621,NUP205,Nuclear pore complex protein Nup205
Q92625,ANKS1A,Ankyrin repeat and SAM domain-containing protein 1A
Q92626,PXDN,Peroxidasin homolog
Q92643,PIGK,GPI-anchor transamidase
Q92665,MRPS31,"28S ribosomal protein S31, mitochondrial"
Q92667,AKAP1,"A-kinase anchor protein 1, mitochondrial"
Q92673,SORL1,Sortilin-related receptor
Q92688,ANP32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B
Q92692,PVRL2,Nectin-2
Q92696,RABGGTA,Geranylgeranyl transferase type-2 subunit alpha
Q92734,TFG,Protein TFG
Q92743,HTRA1,Serine protease HTRA1
Q92747,ARPC1A,Actin-related protein 2/3 complex subunit 1A
Q92769,HDAC2,Histone deacetylase 2
Q92783,STAM,Signal transducing adapter molecule 1
Q92785;Q92782,DPF2,Zinc finger protein ubi-d4
Q92791,LEPREL4,Synaptonemal complex protein SC65
Q92793,CREBBP,CREB-binding protein
Q92796,DLG3,Disks large homolog 3
Q92797,SYMPK,Symplekin
Q92804,TAF15,TATA-binding protein-associated factor 2N
Q92805,GOLGA1,Golgin subfamily A member 1
Q92820,GGH,Gamma-glutamyl hydrolase
Q92823,NRCAM,Neuronal cell adhesion molecule
Q92841,DDX17,Probable ATP-dependent RNA helicase DDX17
Q92844,TANK,TRAF family member-associated NF-kappa-B activator
Q92845,KIFAP3,Kinesin-associated protein 3
Q92859,NEO1,Neogenin
Q92871,PMM1,Phosphomannomutase 1
Q92878,RAD50,DNA repair protein RAD50
Q92879,CELF1,CUGBP Elav-like family member 1
Q92888,ARHGEF1,Rho guanine nucleotide exchange factor 1
Q92890,UFD1L,Ubiquitin fusion degradation protein 1 homolog
Q92896,GLG1,Golgi apparatus protein 1
Q92900,UPF1,Regulator of nonsense transcripts 1
Q92905,COPS5,COP9 signalosome complex subunit 5
Q92917,GPKOW,G patch domain and KOW motifs-containing protein
Q92922,SMARCC1,SWI/SNF complex subunit SMARCC1
Q92930,RAB8B,Ras-related protein Rab-8B
Q92945,KHSRP,Far upstream element-binding protein 2
Q92947,GCDH,"Glutaryl-CoA dehydrogenase, mitochondrial"
Q92973,TNPO1,Transportin-1
Q92974,ARHGEF2,Rho guanine nucleotide exchange factor 2
Q92979,EMG1,Ribosomal RNA small subunit methyltransferase NEP1
Q92990,GLMN,Glomulin
Q92995,USP13,Ubiquitin carboxyl-terminal hydrolase 13
Q92997;P54792;O14640,DVL3,Segment polarity protein dishevelled homolog DVL-3
Q93008,USP9X,Probable ubiquitin carboxyl-terminal hydrolase FAF-X
Q93009,USP7,Ubiquitin carboxyl-terminal hydrolase 7
Q93034,CUL5,Cullin-5
Q93045,STMN2,Stathmin-2
Q93050,ATP6V0A1,V-type proton ATPase 116 kDa subunit a isoform 1
Q93052,LPP,Lipoma-preferred partner
Q93062,RBPMS,RNA-binding protein with multiple splicing
Q93073,SECISBP2L,Selenocysteine insertion sequence-binding protein 2-like
Q93074,MED12,Mediator of RNA polymerase II transcription subunit 12
Q93088;Q9H2M3,BHMT;BHMT2,Betaine--homocysteine S-methyltransferase 1;S-methylmethionine--homocysteine S-methyltransferase BHMT2
Q93100,PHKB,Phosphorylase b kinase regulatory subunit beta
Q95604,HLA-C,"HLA class I histocompatibility antigen, Cw-17 alpha chain"
Q969E2,SCAMP4,Secretory carrier-associated membrane protein 4
Q969E4;Q6IPX3,TCEAL3;TCEAL6,Transcription elongation factor A protein-like 3;Transcription elongation factor A protein-like 6
Q969G3,SMARCE1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1
Q969G6,RFK,Riboflavin kinase
Q969H8,MYDGF,Myeloid-derived growth factor
Q969J3,LOH12CR1,Loss of heterozygosity 12 chromosomal region 1 protein
Q969M3,YIPF5,Protein YIPF5
Q969M7,UBE2F,NEDD8-conjugating enzyme UBE2F
Q969N2,PIGT,GPI transamidase component PIG-T
Q969P0,IGSF8,Immunoglobulin superfamily member 8
Q969Q5,RAB24,Ras-related protein Rab-24
Q969S3,ZNF622,Zinc finger protein 622
Q969S9,GFM2,"Ribosome-releasing factor 2, mitochondrial"
Q96LR5;Q969T4,UBE2E2;UBE2E3,Ubiquitin-conjugating enzyme E2 E2;Ubiquitin-conjugating enzyme E2 E3
Q969T9,WBP2,WW domain-binding protein 2
Q969U7,PSMG2,Proteasome assembly chaperone 2
Q969V3,NCLN,Nicalin
Q969V5,MUL1,Mitochondrial ubiquitin ligase activator of NFKB 1
Q969V6,MKL1,MKL/myocardin-like protein 1
Q969X5,ERGIC1,Endoplasmic reticulum-Golgi intermediate compartment protein 1
Q969X6,CIRH1A,Cirhin
Q969Z0,TBRG4,Protein TBRG4
Q969Z3,MARC2,Mitochondrial amidoxime reducing component 2
Q96A23;O95741,CPNE4,Copine-4
Q96A26,FAM162A,Protein FAM162A
Q96A33,CCDC47,Coiled-coil domain-containing protein 47
Q96A35,MRPL24,"39S ribosomal protein L24, mitochondrial"
Q96A49,SYAP1,Synapse-associated protein 1
Q96A65,EXOC4,Exocyst complex component 4
Q96A72,MAGOHB,Protein mago nashi homolog 2
Q96A83,COL26A1,Collagen alpha-1(XXVI) chain
Q96AA3,RFT1,Protein RFT1 homolog
Q96AA8,JAKMIP2,Janus kinase and microtubule-interacting protein 2
Q96AB3,ISOC2,"Isochorismatase domain-containing protein 2, mitochondrial"
Q96AC1,FERMT2,Fermitin family homolog 2
Q96AE4,FUBP1,Far upstream element-binding protein 1
Q96AE7,TTC17,Tetratricopeptide repeat protein 17
Q96AG4,LRRC59,Leucine-rich repeat-containing protein 59
Q96AJ1,CLUAP1,Clusterin-associated protein 1
Q96AQ6,PBXIP1,Pre-B-cell leukemia transcription factor-interacting protein 1
Q96AT9;Q2QD12,RPE,Ribulose-phosphate 3-epimerase
Q96AX1,VPS33A,Vacuolar protein sorting-associated protein 33A
Q96AY3,FKBP10,Peptidyl-prolyl cis-trans isomerase FKBP10
Q96B26,EXOSC8,Exosome complex component RRP43
Q96B45,C10orf32,UPF0693 protein C10orf32
Q96B49,TOMM6,Mitochondrial import receptor subunit TOM6 homolog
Q96B54,ZNF428,Zinc finger protein 428
Q96B86,RGMA,Repulsive guidance molecule A
Q96B97,SH3KBP1,SH3 domain-containing kinase-binding protein 1
Q96BD5,PHF21A,PHD finger protein 21A
Q96BF6,NACC2,Nucleus accumbens-associated protein 2
Q96BH1,RNF25,E3 ubiquitin-protein ligase RNF25
Q96BJ3,AIDA,"Axin interactor, dorsalization-associated protein"
Q96BK5,PINX1,PIN2/TERF1-interacting telomerase inhibitor 1
Q96BM9,ARL8A,ADP-ribosylation factor-like protein 8A
Q96BN2,TADA1,Transcriptional adapter 1
Q96BN8,OTULIN,Ubiquitin thioesterase otulin
Q96BP2,CHCHD1,Coiled-coil-helix-coiled-coil-helix domain-containing protein 1
Q96BP3,PPWD1,Peptidylprolyl isomerase domain and WD repeat-containing protein 1
Q96BR5,COA7,Cytochrome c oxidase assembly factor 7
Q96BS2,TESC,Calcineurin B homologous protein 3
Q96BW9,TAMM41,"Phosphatidate cytidylyltransferase, mitochondrial"
Q96BX8,MOB3A,MOB kinase activator 3A
Q96BY7,ATG2B,Autophagy-related protein 2 homolog B
Q96BY9,SARAF,Store-operated calcium entry-associated regulatory factor
Q96C01,FAM136A,Protein FAM136A
Q96C19,EFHD2,EF-hand domain-containing protein D2
Q96C23,GALM,Aldose 1-epimerase
Q96C36,PYCR2,Pyrroline-5-carboxylate reductase 2
Q96C57,C12orf43,Uncharacterized protein C12orf43
Q96C86,DCPS,m7GpppX diphosphatase
Q96C90,PPP1R14B,Protein phosphatase 1 regulatory subunit 14B
Q96CB8,INTS12,Integrator complex subunit 12
Q96CM8,ACSF2,"Acyl-CoA synthetase family member 2, mitochondrial"
Q96CN4,EVI5L,EVI5-like protein
Q96CN7,ISOC1,Isochorismatase domain-containing protein 1
Q96CN9,GCC1,GRIP and coiled-coil domain-containing protein 1
Q96CP2;Q4VC44,FLYWCH2,FLYWCH family member 2
Q96CP6,GRAMD1A,GRAM domain-containing protein 1A
Q96CS3,FAF2,FAS-associated factor 2
Q96CT7,CCDC124,Coiled-coil domain-containing protein 124
Q96CU9,FOXRED1,FAD-dependent oxidoreductase domain-containing protein 1
Q96CV9,OPTN,Optineurin
